PheCode,Phenotype,Category,OMICSPRED ID,Internal R2,Platform,Description,Hazard Ratio,FDR adjusted P-value
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008761,0.095,RNAseq,CCDC134,1.02 (1.01 1.03),2.08E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007286,0.140,RNAseq,COX14,1.02 (1.01 1.03),2.09E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012279,0.038,RNAseq,CDKN2A,0.98 (0.97 0.99),2.20E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004657,0.330,RNAseq,LPP,0.98 (0.97 0.99),2.21E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010449,0.062,RNAseq,PARVA,0.98 (0.97 0.99),2.28E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004014,0.460,RNAseq,PRMT6,0.98 (0.97 0.99),2.31E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012609,0.035,RNAseq,RAD21,0.98 (0.97 0.99),2.32E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005122,0.274,RNAseq,OBI1,0.98 (0.97 0.99),2.33E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011752,0.044,RNAseq,AL359532.1,0.98 (0.97 0.99),2.33E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010949,0.055,RNAseq,AC008897.3,1.02 (1.01 1.03),2.37E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006112,0.197,RNAseq,CCDC127,0.98 (0.97 0.99),2.40E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014703,0.017,RNAseq,TCF4,0.98 (0.97 0.99),2.43E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013230,0.029,RNAseq,EP300,1.02 (1.01 1.03),2.45E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010937,0.055,RNAseq,H4C3,0.98 (0.97 0.99),2.46E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006323,0.185,RNAseq,REEP5,1.02 (1.01 1.03),2.51E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010906,0.055,RNAseq,HMGN2,0.98 (0.97 0.99),2.54E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006269,0.188,RNAseq,RALY-AS1,0.98 (0.97 0.99),2.54E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013578,0.026,RNAseq,METTL2A,0.98 (0.97 0.99),2.69E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005907,0.208,RNAseq,TNFAIP8,1.02 (1.01 1.03),2.70E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007532,0.131,RNAseq,GIGYF1,0.98 (0.97 0.99),2.83E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005215,0.264,RNAseq,SREBF1,0.98 (0.97 0.99),2.83E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009551,0.078,RNAseq,PCED1B-AS1,0.98 (0.97 0.99),2.83E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008024,0.115,RNAseq,FMNL3,1.02 (1.01 1.03),2.87E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004406,0.369,RNAseq,,0.98 (0.97 0.99),2.87E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011713,0.045,RNAseq,PPP2R3A,1.02 (1.01 1.03),2.87E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007764,0.123,RNAseq,HLA-E,1.02 (1.01 1.03),3.05E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006271,0.188,RNAseq,MCC,1.02 (1.01 1.03),3.05E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014108,0.022,RNAseq,RCN2,1.02 (1.01 1.03),3.08E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004783,0.312,RNAseq,SLIT1,1.02 (1.01 1.03),3.08E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009703,0.075,RNAseq,HBP1,1.02 (1.01 1.03),3.11E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009839,0.072,RNAseq,MPIG6B,1.02 (1.01 1.03),3.14E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014405,0.020,RNAseq,AC018761.2,1.02 (1.01 1.03),3.20E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014803,0.017,RNAseq,TLE1,1.02 (1.01 1.03),3.20E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007094,0.148,RNAseq,UTP25,0.98 (0.97 0.99),3.20E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011082,0.053,RNAseq,AL138824.1,0.98 (0.97 0.99),3.26E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012005,0.041,RNAseq,EML2,0.98 (0.97 0.99),3.40E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008558,0.100,RNAseq,TSPAN32,0.98 (0.97 0.99),3.40E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006833,0.159,RNAseq,DESI1,1.02 (1.01 1.03),3.41E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010437,0.062,RNAseq,LINC01133,1.02 (1.01 1.03),3.41E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012669,0.034,RNAseq,SMARCAL1,0.98 (0.97 0.99),3.41E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011395,0.048,RNAseq,TIE1,1.02 (1.01 1.03),3.41E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008529,0.101,RNAseq,CRIP3,1.02 (1.01 1.03),3.41E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013825,0.024,RNAseq,EFNB2,1.02 (1.01 1.03),3.51E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011183,0.051,RNAseq,DLK1,0.98 (0.97 0.99),3.51E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010281,0.065,RNAseq,MED1,1.02 (1.01 1.03),3.52E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005793,0.216,RNAseq,,0.98 (0.97 0.99),3.52E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013198,0.029,RNAseq,PDIA3,0.98 (0.97 0.99),3.56E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008331,0.106,RNAseq,ANGEL1,1.02 (1.01 1.03),3.69E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005613,0.228,RNAseq,CDKN2B,0.98 (0.97 0.99),3.69E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006348,0.184,RNAseq,PTPRJ,1.02 (1.01 1.03),3.79E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010927,0.055,RNAseq,NUTF2,0.98 (0.97 0.99),3.82E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010700,0.058,RNAseq,DCLRE1B,0.98 (0.97 0.99),3.83E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014214,0.021,RNAseq,PRSS22,0.98 (0.97 0.99),3.87E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006091,0.198,RNAseq,RNF157,1.02 (1.01 1.03),3.87E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011029,0.053,RNAseq,DRAIC,1.02 (1.01 1.03),3.91E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005567,0.233,RNAseq,PLEKHA1,1.02 (1.01 1.03),3.91E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006845,0.158,RNAseq,FLOT1,1.02 (1.01 1.03),3.96E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011885,0.043,RNAseq,CLTA,1.02 (1.01 1.03),3.96E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013305,0.028,RNAseq,TRBV14,0.98 (0.97 0.99),3.96E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008560,0.100,RNAseq,FAM76B,1.02 (1.01 1.03),3.96E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010326,0.064,RNAseq,KCNK7,1.02 (1.01 1.03),3.96E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS006408,0.180,RNAseq,SCAP,1.02 (1.01 1.03),4.06E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009672,0.076,RNAseq,CALR,0.98 (0.97 0.99),4.07E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011331,0.049,RNAseq,MAEA,1.02 (1.01 1.03),4.08E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014850,0.017,RNAseq,KCNK10,0.98 (0.97 0.99),4.09E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013199,0.029,RNAseq,ACP1,0.98 (0.97 0.99),4.09E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011915,0.042,RNAseq,RNF19B,1.02 (1.01 1.03),4.14E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008417,0.103,RNAseq,GPR19,1.02 (1.01 1.03),4.14E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003664,0.625,RNAseq,,1.02 (1.01 1.03),4.24E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012061,0.041,RNAseq,CSGALNACT2,0.98 (0.97 0.99),4.28E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012334,0.037,RNAseq,SPRY2,1.02 (1.01 1.03),4.31E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009783,0.073,RNAseq,CRK,0.98 (0.97 0.99),4.31E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005696,0.222,RNAseq,ST6GAL1,1.02 (1.01 1.03),4.34E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008074,0.113,RNAseq,JAZF1,1.02 (1.01 1.03),4.34E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014875,0.017,RNAseq,AC008738.5,0.98 (0.97 0.99),4.35E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS011407,0.048,RNAseq,KPNA2,0.98 (0.97 0.99),4.37E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010627,0.059,RNAseq,TPD52L2,1.02 (1.01 1.03),4.39E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS005289,0.258,RNAseq,UBA7,0.98 (0.97 0.99),4.39E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008164,0.110,RNAseq,ITPKB-IT1,1.02 (1.01 1.03),4.43E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012084,0.040,RNAseq,DCP1B,0.98 (0.97 0.99),4.50E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009925,0.071,RNAseq,ATP2A3,0.98 (0.97 0.99),4.58E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS013535,0.026,RNAseq,AC005534.1,1.02 (1.01 1.03),4.62E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS004389,0.372,RNAseq,AP003774.2,0.98 (0.97 0.99),4.62E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012047,0.041,RNAseq,TREML1,1.02 (1.01 1.03),4.62E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012482,0.036,RNAseq,POLDIP3,1.02 (1.01 1.03),4.72E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS003625,0.664,RNAseq,,0.98 (0.97 0.99),4.73E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS012137,0.040,RNAseq,TIMM17A,1.02 (1.01 1.03),4.77E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS014563,0.018,RNAseq,HSPA13,0.98 (0.97 0.99),4.80E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS010992,0.054,RNAseq,LCMT1,1.02 (1.01 1.03),4.83E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS008237,0.108,RNAseq,IL17RA,1.02 (1.01 1.03),4.83E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007306,0.139,RNAseq,RBL2,1.02 (1.01 1.03),4.90E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS007692,0.126,RNAseq,NAA38,0.98 (0.97 0.99),4.93E-02
250.2,Type 2 diabetes,endocrine/metabolic,OPGS009151,0.086,RNAseq,AC064836.3,1.02 (1.01 1.03),5.00E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS001773,0.018,SomaScan,17-beta-hydroxysteroid dehydrogenase 14,0.88 (0.84 0.91),4.26E-08
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS001701,0.019,SomaScan,UDP-N-acetylhexosamine pyrophosphorylase,1.14 (1.09 1.18),6.46E-08
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS001067,0.048,SomaScan,Ubiquitin-like protein ISG15,1.13 (1.09 1.18),3.71E-07
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS002070,0.012,SomaScan,Gro-beta/gamma,0.88 (0.84 0.92),8.76E-07
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS001231,0.037,SomaScan,Osteocalcin,1.11 (1.07 1.16),4.50E-05
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000569,0.103,SomaScan,cAMP-specific 3'.5'-cyclic phosphodiesterase 4D,0.90 (0.87 0.94),7.73E-05
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000984,0.055,SomaScan,Complement C2,1.11 (1.07 1.16),2.52E-04
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000576,0.102,SomaScan,Interleukin-21,0.91 (0.88 0.95),9.69E-04
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000290,0.171,SomaScan,Complement C4,0.91 (0.87 0.95),1.10E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000572,0.102,SomaScan,Glutamate receptor 4,0.92 (0.88 0.95),3.25E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS001037,0.051,SomaScan,Polypeptide N-acetylgalactosaminyltransferase 1,1.09 (1.05 1.13),4.28E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS001386,0.030,SomaScan,Coiled-coil domain-containing protein 134,1.09 (1.05 1.13),6.24E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000783,0.075,SomaScan,Interleukin-36 alpha,0.92 (0.89 0.96),9.87E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000920,0.061,SomaScan,T-cell surface protein tactile,0.92 (0.89 0.96),1.59E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000147,0.288,SomaScan,Ferritin. mitochondrial,0.93 (0.89 0.96),1.76E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000198,0.236,SomaScan,Peptidyl-glycine alpha-amidating monooxygenase,0.92 (0.89 0.96),1.76E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000240,0.198,SomaScan,MHC class I polypeptide-related sequence B,0.93 (0.89 0.96),2.95E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS000390,0.141,SomaScan,Palmitoyl-protein thioesterase 1,1.08 (1.04 1.12),3.31E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS001053,0.049,SomaScan,C-C motif chemokine 19,0.93 (0.89 0.96),4.98E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS002658,0.013,Olink,C-C motif chemokine 22,0.90 (0.86 0.93),3.32E-05
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS002559,0.048,Olink,C-C motif chemokine 19,0.90 (0.87 0.94),2.52E-04
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS002632,0.022,Olink,Advanced glycosylation end product-specific receptor,0.91 (0.87 0.94),2.59E-04
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS003012,0.030,Metabolon,arginine,1.09 (1.04 1.13),1.47E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS005389,0.248,RNAseq,TRAV23DV6,0.84 (0.82 0.87),1.28E-18
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS013243,0.029,RNAseq,TRAV3,0.85 (0.82 0.88),2.04E-13
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS006716,0.164,RNAseq,IER3,1.16 (1.11 1.20),3.67E-10
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS012171,0.039,RNAseq,TRBV15,0.87 (0.84 0.90),1.54E-09
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS006499,0.176,RNAseq,C4A,0.87 (0.84 0.91),1.81E-09
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS010624,0.059,RNAseq,TRBV18,1.15 (1.11 1.20),1.81E-09
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS007675,0.126,RNAseq,TRAV12-2,1.15 (1.10 1.19),2.90E-09
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS006038,0.201,RNAseq,HLA-DQA2,1.13 (1.09 1.17),4.74E-08
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS006845,0.158,RNAseq,FLOT1,1.13 (1.09 1.18),1.23E-07
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS009865,0.072,RNAseq,TRAV17,0.89 (0.85 0.92),3.32E-07
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS005334,0.253,RNAseq,AL645933.4,0.89 (0.86 0.93),4.75E-06
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS004122,0.430,RNAseq,HLA-DRB5,0.89 (0.86 0.93),2.95E-05
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS011787,0.044,RNAseq,C2,1.11 (1.07 1.16),3.54E-05
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS011948,0.042,RNAseq,ADGRG1,0.90 (0.87 0.94),7.50E-05
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS003680,0.611,RNAseq,,1.10 (1.06 1.15),1.05E-04
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS005230,0.263,RNAseq,LINC00243,1.11 (1.07 1.15),1.08E-04
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS011853,0.043,RNAseq,TRBV6-1,0.90 (0.87 0.94),2.52E-04
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS009198,0.085,RNAseq,TRAV12-1,1.10 (1.06 1.15),4.06E-04
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS013660,0.025,RNAseq,CD8A,1.10 (1.06 1.15),4.98E-04
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS010826,0.056,RNAseq,TRIM10,0.91 (0.88 0.95),1.47E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS011536,0.047,RNAseq,TRAV2,0.91 (0.88 0.95),1.65E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS010799,0.057,RNAseq,SAPCD1-AS1,1.11 (1.06 1.15),1.70E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS010700,0.058,RNAseq,DCLRE1B,0.92 (0.89 0.95),2.82E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS012006,0.041,RNAseq,VARS2,0.92 (0.88 0.95),2.82E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS008889,0.092,RNAseq,TRAV20,1.09 (1.05 1.13),8.24E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS007018,0.151,RNAseq,TRBV10-3,1.09 (1.05 1.13),9.55E-03
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS011086,0.053,RNAseq,HSPA1B,0.92 (0.88 0.96),1.19E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS015028,0.016,RNAseq,JUNB,0.93 (0.89 0.96),1.25E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS009278,0.084,RNAseq,,0.92 (0.89 0.96),1.32E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS007145,0.146,RNAseq,BAG6,1.08 (1.04 1.12),1.90E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS014393,0.020,RNAseq,FIG4,1.08 (1.04 1.12),2.54E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS010779,0.057,RNAseq,ACE,1.08 (1.04 1.12),2.63E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS008784,0.094,RNAseq,,0.93 (0.89 0.96),2.84E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS014496,0.019,RNAseq,VARS1,1.08 (1.04 1.12),2.95E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS004678,0.327,RNAseq,ZNF772,0.93 (0.89 0.96),3.16E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS007297,0.140,RNAseq,GPANK1,0.92 (0.88 0.96),3.16E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS006244,0.189,RNAseq,RCCD1,1.07 (1.04 1.11),3.31E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS008507,0.101,RNAseq,PSMB1,0.93 (0.89 0.96),3.45E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS014176,0.021,RNAseq,TRAV27,1.08 (1.04 1.12),3.48E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS008402,0.104,RNAseq,TNXB,1.08 (1.04 1.12),3.48E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS004406,0.369,RNAseq,,0.93 (0.89 0.96),3.59E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS006069,0.199,RNAseq,ZFP1,0.93 (0.90 0.97),3.99E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS005375,0.249,RNAseq,,0.93 (0.89 0.97),4.01E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS009803,0.073,RNAseq,UBE2E2,1.08 (1.04 1.12),4.14E-02
250.23,Type 2 diabetes with ophthalmic manifestations,endocrine/metabolic,OPGS010856,0.056,RNAseq,RIOK3,0.93 (0.89 0.97),4.35E-02
250.24,Type 2 diabetes with neurological manifestations,endocrine/metabolic,OPGS005389,0.248,RNAseq,TRAV23DV6,0.87 (0.83 0.92),1.13E-02
250.42,Other abnormal glucose,endocrine/metabolic,OPGS013333,0.028,RNAseq,MNT,0.85 (0.80 0.91),4.03E-02
250.6,Polyneuropathy in diabetes,endocrine/metabolic,OPGS005389,0.248,RNAseq,TRAV23DV6,0.86 (0.81 0.91),1.85E-02
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS001773,0.018,SomaScan,17-beta-hydroxysteroid dehydrogenase 14,0.86 (0.83 0.90),3.11E-10
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS001701,0.019,SomaScan,UDP-N-acetylhexosamine pyrophosphorylase,1.15 (1.11 1.20),9.69E-10
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS001067,0.048,SomaScan,Ubiquitin-like protein ISG15,1.15 (1.10 1.19),1.92E-08
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS002070,0.012,SomaScan,Gro-beta/gamma,0.87 (0.84 0.91),2.56E-07
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000569,0.103,SomaScan,cAMP-specific 3'.5'-cyclic phosphodiesterase 4D,0.89 (0.85 0.92),4.79E-07
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000576,0.102,SomaScan,Interleukin-21,0.90 (0.86 0.93),1.27E-05
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000572,0.102,SomaScan,Glutamate receptor 4,0.90 (0.86 0.93),2.61E-05
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS001037,0.051,SomaScan,Polypeptide N-acetylgalactosaminyltransferase 1,1.11 (1.07 1.16),2.78E-05
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000290,0.171,SomaScan,Complement C4,0.90 (0.86 0.93),3.51E-05
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000984,0.055,SomaScan,Complement C2,1.12 (1.08 1.17),3.51E-05
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000783,0.075,SomaScan,Interleukin-36 alpha,0.90 (0.87 0.94),4.37E-05
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000920,0.061,SomaScan,T-cell surface protein tactile,0.90 (0.87 0.94),1.57E-04
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS001231,0.037,SomaScan,Osteocalcin,1.11 (1.06 1.15),1.66E-04
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000147,0.288,SomaScan,Ferritin. mitochondrial,0.91 (0.87 0.94),3.31E-04
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS001386,0.030,SomaScan,Coiled-coil domain-containing protein 134,1.10 (1.06 1.15),3.45E-04
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000390,0.141,SomaScan,Palmitoyl-protein thioesterase 1,1.09 (1.05 1.14),5.67E-03
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000240,0.198,SomaScan,MHC class I polypeptide-related sequence B,0.92 (0.88 0.96),7.80E-03
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS000618,0.096,SomaScan,MHC class I polypeptide-related sequence B,0.92 (0.88 0.96),9.53E-03
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS001603,0.022,SomaScan,Zinc fingers and homeoboxes protein 3,0.92 (0.88 0.96),1.20E-02
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS001053,0.049,SomaScan,C-C motif chemokine 19,0.92 (0.89 0.96),3.40E-02
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS002658,0.013,Olink,C-C motif chemokine 22,0.88 (0.85 0.91),1.72E-07
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS002559,0.048,Olink,C-C motif chemokine 19,0.89 (0.86 0.93),2.37E-05
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS002632,0.022,Olink,Advanced glycosylation end product-specific receptor,0.90 (0.87 0.94),7.44E-05
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS002923,0.047,Metabolon,gluconate,1.09 (1.04 1.14),3.92E-02
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS005389,0.248,RNAseq,TRAV23DV6,0.84 (0.81 0.86),5.45E-21
250.7,Diabetic retinopathy,endocrine/metabolic,OPGS013243,0.029,RNAseq,TRAV3,0.84 (0.81 0.88),3.98E-14
